puid,hid,fullname,full_dob,relationship,sex,marstat,telephone,Eaid,Cluster_Number,Source_Dataset,Match,cluster_sequential_number,Comments
YSK370847777,141,NDENGEYINGOMA UMUTONI,99/2016,10.0,M,6.0,9103602271.0,MUHARUROKIBINYOGOTE,10,cen,"YSK370847777,YSK370847777,",0,
YSK370847777,141,NDENGEYINGOMA UMUTONI,99/2016,10.0,,6.0,9103602271.0,MUHARUROKIBINYOGOTE,10,pes,"YSK370847777,YSK370847777,",0,
YSK370847777,141,NDENGEYINGOMA UMUTONI,08/2016,10.0,M,,9103602271.0,MUHARUROKIBINYOGOTE,10,pes,"YSK370847777,YSK370847777,",0,
YYS400831136,142,FLORENTIN YVES,05/1995,1.0,M,1.0,7607083913.0,MUSONGATINGORORANO,11,cen,No match in cluster,1,
YYS400831136,142,FLORENTIN YVES,05/1995,,M,2.0,7607083913.0,MUSONGATINGORORANO,11,cen,No match in cluster,1,
YYS400831136,142,FLORENTIN YVES,05/1995,1.0,M,2.0,8547963655.0,MUSONGATINGORORANO,11,pes,No match in cluster,1,
YZI931655738,142,NGABO HABYARIMANA,99/1921,6.0,M,4.0,7607083913.0,MUSONGATINGORORANO,12,cen,No match in cluster,2,
YZI931655738,142,NGABO HABYARIMANA,07/1921,6.0,M,4.0,7607083913.0,MUSONGATINGORORANO,12,cen,No match in cluster,2,
YZI931655738,142,NGABO HABYARIMANA,01/1921,6.0,M,4.0,8547963655.0,MUSONGATINGORORANO,12,pes,No match in cluster,2,
YZI931655738,142,NGABO HABYARIMANA,07/9999,6.0,M,4.0,8547963655.0,MUSONGATINGORORANO,12,pes,No match in cluster,2,
Z1B129507786,142,NSENGIYUMVA KWIZERA,11/1984,11.0,M,3.0,7607083913.0,MUSONGATINGORORANO,13,cen,No match in cluster,3,
Z1B129507786,142,NSENGIYUMVA KWIZERA,99/1970,11.0,M,3.0,7607083913.0,MUSONGATINGORORANO,13,cen,No match in cluster,3,
Z1B129507786,142,NSENGIYUMVA KWIZERA,11/1970,11.0,F,3.0,8547963655.0,MUSONGATINGORORANO,13,pes,No match in cluster,3,
Z1B129507786,142,NSENGIYUMVA KWIZERA,11/1970,11.0,M,,8547963655.0,MUSONGATINGORORANO,13,pes,No match in cluster,3,
