puid,hid,fullname,full_dob,relationship,sex,marstat,telephone,Eaid,Cluster_Number,Source_Dataset,Match,cluster_sequential_number,Comments
Y6Z288616154,140,WINNY MUHIRWA,06/1934,4.0,F,4.0,,SARUHEMBENYAGAHANGA,6,cen,"Y6Z288616154,Y6Z288616154,",0,
Y6Z288616154,140,WINNY MUHIRWA,99/1934,4.0,F,4.0,,SARUHEMBENYAGAHANGA,6,cen,"Y6Z288616154,Y6Z288616154,",0,
Y6Z288616154,140,WINNY MUHIRWA,99/1934,4.0,F,4.0,6495405919.0,SARUHEMBENYAGAHANGA,6,pes,"Y6Z288616154,Y6Z288616154,",0,
Y6Z288616154,140,WINNY MUHIRWA,06/1934,4.0,F,4.0,6495405919.0,SARUHEMBENYAGAHANGA,6,pes,"Y6Z288616154,Y6Z288616154,",0,
YA8635915325,141,IRADUKUNDA NGABONZIZA,02/9999,,M,3.0,9103602271.0,MUHARUROKIBINYOGOTE,7,cen,"YA8635915325,YA8635915325,",1,
YA8635915325,141,IRADUKUNDA NGABONZIZA,02/1939,11.0,M,3.0,9103602271.0,MUHARUROKIBINYOGOTE,7,cen,"YA8635915325,YA8635915325,",1,
YA8635915325,141,IRADUKUNDA NGABONZIZA,12/1939,11.0,M,3.0,9103602271.0,MUHARUROKIBINYOGOTE,7,pes,"YA8635915325,YA8635915325,",1,
YA8635915325,141,IRADUKUNDA NGABONZIZA,99/1939,11.0,M,3.0,9103602271.0,MUHARUROKIBINYOGOTE,7,pes,"YA8635915325,YA8635915325,",1,
YHB921251984,141,ELLA KALISA,01/1928,11.0,F,5.0,9103602271.0,MUHARUROKIBINYOGOTE,8,cen,"YHB921251984,YHB921251984,",2,
YHB921251984,141,ELLA KALISA,02/1993,,F,5.0,9103602271.0,MUHARUROKIBINYOGOTE,8,cen,"YHB921251984,YHB921251984,",2,
YHB921251984,141,ELLA KALISA,06/1993,11.0,F,5.0,9103602271.0,MUHARUROKIBINYOGOTE,8,pes,"YHB921251984,YHB921251984,",2,
YHB921251984,141,ELLA KALISA,02/1993,11.0,F,5.0,9103602271.0,MUHARUROKIBINYOGOTE,8,pes,"YHB921251984,YHB921251984,",2,
YN8350281683,141,HONORINE NSENGIYUMVA,12/1943,10.0,F,4.0,9103602271.0,MUHARUROKIBINYOGOTE,9,cen,"YN8350281683,YN8350281683,",3,
YN8350281683,141,HONORINE NSENGIYUMVA,12/1965,10.0,F,,9103602271.0,MUHARUROKIBINYOGOTE,9,pes,"YN8350281683,YN8350281683,",3,
YN8350281683,141,HONORINE NSENGIYUMVA,12/1943,10.0,F,4.0,9103602271.0,MUHARUROKIBINYOGOTE,9,pes,"YN8350281683,YN8350281683,",3,
