puid,hid,fullname,full_dob,relationship,sex,marstat,telephone,Eaid,Cluster_Number,Source_Dataset,Match,cluster_sequential_number,Comments
Z3G138506804,143,RUSANGANWA KARANGWA,03/1934,,M,6.0,6042629245.0,REMERAGITWA,14,cen,"Z3G138506804,Z3G138506804,",0,
Z3G138506804,143,RUSANGANWA KARANGWA,02/1934,9.0,M,6.0,6042629245.0,REMERAGITWA,14,pes,"Z3G138506804,Z3G138506804,",0,
Z3G138506804,143,RUSANGANWA KARANGWA,03/1934,9.0,M,6.0,6042629245.0,REMERAGITWA,14,pes,"Z3G138506804,Z3G138506804,",0,
Z5V470109073,143,ERIC KAREMERA,05/1988,7.0,M,3.0,6042629245.0,REMERAGITWA,15,cen,"Z5V470109073,Z5V470109073,",1,
Z5V470109073,143,ERIC KAREMERA,01/1988,7.0,M,3.0,6042629245.0,REMERAGITWA,15,pes,"Z5V470109073,Z5V470109073,",1,
Z5V470109073,143,ERIC KAREMERA,99/1988,7.0,M,3.0,6042629245.0,REMERAGITWA,15,pes,"Z5V470109073,Z5V470109073,",1,
ZRB113583615,145,METHODE IZABAYO,11/1947,10.0,M,5.0,,IIMUTARA,16,cen,No match in cluster,2,
ZRB113583615,145,METHODE IZABAYO,11/1947,,M,,,IIMUTARA,16,cen,No match in cluster,2,
ZRB113583615,145,METHODE IZABAYO,11/1947,10.0,F,5.0,5578642384.0,IIMUTARA,16,pes,No match in cluster,2,
ZRB113583615,145,METHODE IZABAYO,11/1947,10.0,,5.0,5578642384.0,IIMUTARA,16,pes,No match in cluster,2,
ZUX507676677,145,MANZI CHRISTIAN RUTAYISIRE,04/1941,12.0,,1.0,,IIMUTARA,17,cen,No match in cluster,3,
ZUX507676677,145,MANZI CHRISTIAN RUTAYISIRE,99/1951,12.0,M,1.0,,IIMUTARA,17,cen,No match in cluster,3,
ZUX507676677,145,MANZI CHRISTIAN RUTAYISIRE,04/1941,12.0,M,,5578642384.0,IIMUTARA,17,pes,No match in cluster,3,
ZUX507676677,145,MANZI CHRISTIAN RUTAYISIRE,04/1941,12.0,M,1.0,5578642384.0,IIMUTARA,17,pes,No match in cluster,3,
